id,provider,provider_id,lon,lat
1000001,1,08332622,-107.2826306,35.9456833
1000002,1,08332620,-107.2826472,35.9456972
1000003,1,08332616,-107.3491889,35.9292333
1000004,1,08329873,-106.5505796,35.1472672
1000005,1,08332610,-107.3468694,35.92626667
1000006,1,08332612,-107.3474333,35.92596667
1000007,1,08329875,-106.5533574,35.1472672
1000008,1,08329874,-106.5533574,35.1472672
1000009,1,08329876,-106.5561352,35.14726719
1000010,1,08363100,-106.9516667,32.50138889
1000011,1,02398863,-85.5435747,34.6011941
1000012,1,06719730,-105.2819348,39.8466535
1000013,1,011006982,-71.02533379,42.75148005
1000014,1,422309071092201,-71.1561111,42.3858333
1000015,1,335139077593801,-77.99388889,33.8608333
1000016,1,453249122471901,-122.788736,45.5470472
1000017,1,01540348,-76.4555033,40.947309
1000018,1,0157177680,-76.433325,40.5876333
1000019,1,06452406,-98.4864696,43.1611041
1000020,1,08154660,-97.7575074,30.37853727
1000021,1,02043062,-76.1424352,36.8095929
1000022,1,382443081480203,-81.8004071,38.41203756
1000023,1,382443081480205,-81.8004071,38.41203756
1000024,1,05405855,-89.7065117,43.3360984
1000025,1,05405859,-89.7065116,43.33304298
1000026,1,054279447,-89.5281768,43.08388428
1000027,1,430207087543200,-87.9089736,43.0352915
1000028,1,430207087543201,-87.9089736,43.0352915
1000029,1,430208087543200,-87.9089736,43.03556928
1000030,1,430208087543201,-87.9089736,43.03556928
1000031,1,430208087543202,-87.9089736,43.03556928
1000032,1,430209087543200,-87.9089736,43.03584705
1000033,1,443205088035400,-88.0651037,44.53471406
1000034,1,443206088035700,-88.065937,44.5349918
1000035,1,373457109313101,-109.5253889,37.58252778
1000036,1,014678324,-76.29888889,40.6922222
1000037,1,424245090231600,-90.3879059,42.71249577
1000038,1,424246090231700,-90.38818369,42.7127735
1000039,1,014678327,-76.2966667,40.6922222
1000040,1,07029684,-88.9219444,35.40441667
1000041,1,01658510,-77.4185958,38.59817559
1000042,1,0167399476,-77.3550806,38.08795
1000043,1,430355089183501,-89.3096944,43.06527778
1000044,1,430356089183501,-89.30975,43.06541667
1000045,1,430356089183502,-89.30975,43.06541667
1000046,1,430356089183503,-89.30975,43.06541667
1000047,1,430356089183504,-89.30975,43.06541667
1000048,1,430402089183501,-89.30975,43.06713889
1000049,1,430402089183502,-89.30975,43.06713889
1000050,1,014678349,-76.2941667,40.6825
1000051,1,07307550,-100.7093333,34.3102222
1000052,1,430440089223400,-89.3762297,43.07777386
1000053,1,430440089223401,-89.3762297,43.07777386
1000054,1,430440089223500,-89.3765075,43.07777386
1000055,1,016141334,-77.74077778,40.01566667
1000056,1,430310089225401,-89.3816667,43.05277778
1000057,1,430310089225402,-89.3816667,43.05277778
1000058,1,430310089225403,-89.3816667,43.05277778
1000059,1,05579626,-88.8775,40.46194444
1000060,1,0214656665,-80.7425695,35.15264547
1000061,1,0146748720,-76.1749167,40.71813889
1000062,1,0203667510,-77.6627682,37.65625685
1000063,1,01615518,-78.162425,39.1723111
1000064,1,04080981,-89.081779890000007,44.35136816
1000065,1,11194100,-119.0759352,35.4971786
1000066,1,0203668010,-77.60054389,37.64931218
1000067,1,360337078543601,-78.91,36.06013889
1000068,1,0209437825,-79.6603065,36.21596829
1000069,1,354347078401501,-78.6709583,35.72955
1000070,1,10251600,-116.4355874,35.91940608
1000071,1,10253250,-115.2188692,34.0472344
1000072,1,360343078543101,-78.9085,36.0618611
1000073,1,014678369,-76.2883333,40.68
1000074,1,0204243150,-77.3866478,37.6265336
1000075,1,01658455,-77.3591503,38.59456405
1000076,1,423645088595501,-88.9984722,42.61252778
1000077,1,05579627,-88.8780556,40.4608333
1000078,1,431112088281100,-88.4698209,43.1866713
1000079,1,15297660,179.2467172,51.37953169
1000080,1,322915110552201,-110.9234362,32.4875732
1000081,1,10253255,-115.2174803,34.04862329
1000082,1,11169611,-122.043849,37.29383167
1000083,1,11225075,-120.4815448,36.0916251
1000084,1,192326155215101,-155.3613806,19.38741944
1000085,1,10046000,-111.2960363,42.22992858
1000086,1,05447396,-89.790658,41.3378139
1000087,1,05549835,-88.1125781,42.19530226
1000088,1,01594705,-76.61551428,38.5248444
1000089,1,01168639,-72.77759308,42.59897365
1000090,1,421751071222201,-71.3722818,42.29759608
1000091,1,421841071221001,-71.36894839,42.3114848
1000092,1,421900071225701,-71.38200438,42.31676239
1000093,1,421923071224601,-71.3789488,42.3231512
1000094,1,01455383,-74.65,40.96694444
1000095,1,0134277110,-74.8710556,43.53430556
1000096,1,04213441,-78.6505817,42.4486736
1000097,1,0421344430,-78.6516927,42.45478468
1000098,1,04245202,-76.0532554,42.94256645
1000099,1,03510664,-83.38783889,35.62968889
1000100,1,360432078570201,-78.9505833,36.07563889
1000101,1,03129012,-81.7976307,40.3614572
1000102,1,07149850,-98.3789633,36.73475276
1000103,1,07149852,-98.3789633,36.7350305
1000104,1,01537830,-76.06992649,41.15674945
1000105,1,0157177780,-76.431902,40.5862
1000106,1,030728552,-80.325,39.81805556
1000107,1,01115177,-71.5867302,41.83093275
1000108,1,03432877,-86.771666,35.96284028
1000109,1,03468204,-83.4237787,36.01648015
1000110,1,03560700,-84.3565892,35.03952394
1000111,1,03561200,-84.3885348,35.02674607
1000112,1,03561300,-84.3879792,35.02702385
1000113,1,03561700,-84.3957573,35.0314681
1000114,1,03561800,-84.4218694,35.0328567
1000115,1,03567594,-85.1807875,35.0511849
1000116,1,360603087161100,-87.269731,36.1008929
1000117,1,360605087161600,-87.27112,36.10144844
1000118,1,08077719,-95.0023389,29.35905833
1000119,1,08098215,-96.8830556,31.48
1000120,1,08098260,-96.8872222,31.4625
1000121,1,08154680,-97.7577852,30.37853727
1000122,1,09267500,-109.8840393,40.6082881
1000123,1,09309600,-111.3121238,39.6674624
1000124,1,09319000,-111.4315745,39.3296855
1000125,1,09408500,-113.4732888,37.4677569
1000126,1,10108400,-111.761886,41.74298686
1000127,1,10117000,-112.0574518,41.83076015
1000128,1,10117500,-112.0607853,41.8318712
1000129,1,10127050,-112.227454,41.71131687
1000130,1,10127110,-112.0960592,41.54548887
1000131,1,404019111295001,-111.497974,40.67189479
1000132,1,0203667525,-77.665824,37.64820144
1000133,1,02042432,-77.3594246,37.59681178
1000134,1,12090340,-122.367898,47.12565547
1000135,1,05405857,-89.7056783,43.33498737
1000136,1,05429130,-89.4084529,43.0347193
1000137,1,430636089395103,-89.6642889,43.10999416
1000138,1,10019500,-111.0412978,41.40661189
1000139,1,16910000,-170.6401056,-14.25810556
1000140,1,16935500,-170.7659389,-14.33588056
1000141,1,0209437850,-79.6614176,36.2131905
1000142,1,360347078543701,-78.91025,36.06294444
1000143,1,01622220,-79.2489227,38.0731858
1000144,1,360347078543801,-78.9104444,36.063
1000145,1,3505560820626,-82.1072222,35.09888889
1000146,1,0203856510,-77.5286111,37.40108056
1000147,1,0204206650,-77.3291463,37.27876038
1000148,1,15109037,-134.656783,58.2768906
1000149,1,15275038,-149.8522019,61.2077815
1000150,1,07369654,-91.4115096,33.74982893
1000151,1,09429250,-114.7799608,33.3403096
1000152,1,10252700,-115.4827654,34.5708304
1000153,1,11274610,-121.3427154,37.42354527
1000154,1,11482352,-124.0347932,41.29984528
1000155,1,09160000,-108.9309398,39.3310897
1000156,1,05586850,-90.0181617,39.29449098
1000157,1,05422584,-90.590554,41.5601986
1000158,1,02491300,-90.1125856,30.91823806
1000159,1,07354400,-93.212668,31.6834999
1000160,1,07365400,-92.69598609,32.81403314
1000161,1,07370900,-92.8043212,32.3348769
1000162,1,443041069473600,-69.79282647,44.5114548
1000163,1,443156069473000,-69.7911602,44.53228779
1000164,1,443335069450600,-69.7511593,44.55978756
1000165,1,01589460,-76.6308017,39.3284401
1000166,1,01589470,-76.63080148,39.31344019
1000167,1,01589475,-76.6249678,39.3073291
1000168,1,01595244,-79.295874,39.37732106
1000169,1,383023077021202,-77.0368611,38.50641667
1000170,1,01104677,-71.1139414,42.37037477
1000171,1,421756071221701,-71.3708928,42.29898497
1000172,1,0248557375,-89.9958333,32.3597222
1000173,1,0728862210,-90.5022222,33.35055556
1000174,1,384147090463901,-90.7776299,38.69644157
1000175,1,405128097032000,-97.0558654,40.85778529
1000176,1,405220097024000,-97.0447533,40.8722298
1000177,1,01455384,-74.6536111,40.965
1000178,1,01455385,-74.64777778,40.95527778
1000179,1,351818106320710,-106.5358589,35.30503987
1000180,1,0421344110,-78.6505817,42.4489514
1000181,1,0423795631,-76.1538146,42.87590026
1000182,1,0424394005,-75.84296798,42.99312228
1000183,1,04256482,-74.9515693,43.8697876
1000184,1,0209173192,-77.56247048,35.5251615
1000185,1,03259050,-84.4904988,39.2333913
1000186,1,07152844,-97.067539300000007,36.3394904
1000187,1,443643117290200,-117.4838889,44.6119444
1000188,1,0146742496,-76.0490989,40.75342289
1000189,1,0146742498,-76.0488211,40.7539784
1000190,1,01467455,-76.1235489,40.72842299
1000191,1,01467456,-76.1241045,40.72842299
1000192,1,01537554,-76.039647,41.19230459
1000193,1,0153755940,-76.0254796,41.19619339
1000194,1,01113669,-71.3889463,42.0139875
1000195,1,01117352,-71.5470044,41.4484347
1000196,1,06436850,-103.6724188,44.73665158
1000197,1,034324715,-87.0061111,35.8175
1000198,1,07024190,-88.3361575,36.0792271
1000199,1,0702967742,-88.9207778,35.39138889
1000200,1,070302488,-89.6759135,35.3498073
1000201,1,070302489,-89.6756357,35.3500851
1000202,1,07299830,-101.2589778,35.10503889
1000203,1,02073200,-79.8675391,36.57486019
1000204,1,12078657,-122.9481985,47.09537387
1000205,1,464927121535000,-121.898436,46.82399639
1000206,1,371722081332501,-81.5567736,37.2895591
1000207,1,391530077473401,-77.7929167,39.25830556
1000208,1,391740077461401,-77.770675,39.29448056
1000209,1,401028080383701,-80.64340999,40.174516
1000210,1,401445080323201,-80.5420153,40.2459042
